k_T,lam_T,k_C,lam_C,p_cen_target,n,div_hazard_mean,div_hazard_ci_low,div_hazard_ci_high,div_hazard_reject,div_IPCW_mean,div_IPCW_ci_low,div_IPCW_ci_high,div_IPCW_reject,sqrtmse_k_hazard,sqrtmse_k_IPCW,sqrtmse_lam_hazard,sqrtmse_lam_IPCW,score_gap_true_mean,score_gap_true_ci_low,score_gap_true_ci_high
1,2,1,8,0.2,500,0.0042417351,0.0035484534,0.0049321189,0,0.0062803636,0.0050725956,0.0075275833,0,0.056653384,0.063439683,0.14462498,0.14699014,-0.0082699041,-0.020727599,0.0038952229
1,2,1,8,0.2,1000,0.0021758271,0.0018673705,0.0024998603,0,0.0030862423,0.0024423093,0.0038086568,0,0.036532555,0.040527649,0.1098331,0.10862192,-0.0056952643,-0.0140945,0.0028373678
1,2,1,8,0.2,5000,0.00038629287,0.00033094573,0.00044346948,0,0.00055170195,0.0004295417,0.00067604763,0,0.016539114,0.018466264,0.04574193,0.046005586,-0.0016742568,-0.0050043903,0.0015276299
1,2,1,8,0.2,20000,0.00010582657,9.0553978e-05,0.00012190983,0,0.00012930431,0.00010018545,0.00016104304,0,0.0090047298,0.0096230688,0.022618158,0.022848484,-0.002514354,-0.0043539404,-0.00069170878
1,2,1,3,0.4,50,0.051000323,0.04254737,0.05987799,0,0.323853,0.19454528,0.48445163,0,0.26151292,0.41711306,0.6098764,0.59045046,0.098437816,0.031638635,0.16898666
1,2,1,3,0.4,100,0.022002451,0.018945386,0.025158142,0,0.074187355,0.047694878,0.10527648,0,0.15865159,0.23792167,0.38957601,0.43098028,0.039032763,-0.0098440972,0.087305687
1,2,1,3,0.4,200,0.0095354472,0.0080622436,0.011015234,0,0.044726976,0.029037833,0.06481029,0,0.10032884,0.15541721,0.26353371,0.30976816,0.061583532,0.0076072104,0.12574189
1,2,1,3,0.4,500,0.0037708007,0.0032167304,0.0043782583,0,0.019267416,0.011598865,0.028475974,0,0.065356684,0.10281385,0.16918193,0.22136877,0.025387985,-0.0077958059,0.061547737
1,2,1,3,0.4,1000,0.0021482297,0.0018486027,0.0024444751,0,0.0071180484,0.0044538663,0.010359725,0,0.044457762,0.067758083,0.11789378,0.15463704,0.037828882,-0.0076400722,0.10687508
1,2,1,3,0.4,5000,0.00041157301,0.0003567035,0.00046956529,0,0.0015626094,0.00099819881,0.0021824309,0,0.020213641,0.033594266,0.050462658,0.065116822,0.0096587689,-1.475384e-05,0.019148141
1,2,1,3,0.4,20000,0.00010640383,9.0195642e-05,0.00012275958,0,0.00047779164,0.00031569198,0.00064163973,0,0.010460676,0.018608522,0.026026675,0.033382645,0.0045026319,-0.0022361183,0.012039336
1,2,1,1.3333333,0.6,50,0.046730454,0.038765514,0.055223375,0,1.159622,0.54691017,1.9265414,0,0.30224315,0.66028499,1.0249253,0.90910133,0.20643145,0.10110787,0.32654744
1,2,1,1.3333333,0.6,100,0.024995259,0.021058001,0.02903357,0,0.33445149,0.22553509,0.45958107,0,0.20375027,0.42490283,0.5829616,0.73103159,0.40671732,0.22361753,0.63763233
1,2,1,1.3333333,0.6,200,0.010881276,0.009305225,0.012595339,0,0.089770147,0.048338374,0.13876122,0,0.13695149,0.30270244,0.34735619,0.5887082,0.64388605,0.11664409,1.5398388
1,2,1,1.3333333,0.6,500,0.003893154,0.0033023582,0.004471219,0,0.035511925,0.013562901,0.061312793,0,0.080534155,0.20876798,0.21719547,0.44190475,0.06855367,0.021380631,0.11913103
1,2,1,1.3333333,0.6,1000,0.0023060937,0.0019575991,0.0026820543,0,0.030013412,0.017551066,0.043654283,0,0.058128333,0.16161703,0.15479639,0.3643969,0.20907949,0.057589485,0.43726671
1,2,1,1.3333333,0.6,5000,0.00042789902,0.00036796619,0.00049133602,0,0.0059616419,0.0018354927,0.010672385,0,0.025949322,0.09436335,0.065847627,0.20785676,0.089898953,0.040043942,0.14815255
1,2,1,1.3333333,0.6,20000,0.00010520084,8.9911443e-05,0.00012095606,0,0.0022374476,0.0003180603,0.0043140145,0,0.012126053,0.064660802,0.035090331,0.13420536,0.026846185,-0.0050487482,0.071182499
2.5,2,2.5,3.4822023,0.2,50,0.05974565,0.050579206,0.069457455,0,0.1278261,0.086900092,0.17849885,0,0.5513683,0.65127778,0.18092337,0.19239193,0.0084002825,-0.012467997,0.028156455
2.5,2,2.5,3.4822023,0.2,100,0.02371474,0.019726817,0.02786166,0,0.031529805,0.025250249,0.038208791,0,0.35453551,0.40052001,0.12399226,0.1310638,0.0091460353,-0.0045778865,0.02282958
2.5,2,2.5,3.4822023,0.2,200,0.011570712,0.0097286663,0.013381495,0,0.015113118,0.012110068,0.018362746,0,0.23231202,0.26263761,0.093666171,0.097320536,0.00025099062,-0.010714878,0.011797892
2.5,2,2.5,3.4822023,0.2,500,0.0041100608,0.0035198256,0.0047501463,0,0.0053003947,0.0041829468,0.0064821802,0,0.1464655,0.16331087,0.053461488,0.056033448,0.0027594524,-0.0038782109,0.0092472843
2.5,2,2.5,3.4822023,0.2,1000,0.001996048,0.0016741944,0.0023287643,0,0.0029798389,0.0023859438,0.003611335,0,0.10070786,0.10975103,0.041108589,0.042771243,-0.0039091298,-0.0092233082,0.0012379008
2.5,2,2.5,3.4822023,0.2,5000,0.00038978358,0.00032778584,0.00045114724,0,0.00069022409,0.00053679985,0.00085618264,0,0.044766135,0.048368819,0.018015719,0.018596709,-0.0012004781,-0.0034736699,0.0011069433
